机器人名称,感知_均值,行为_均值,综合_均值,developer,website
Miroka?,79.27,78.1,157.37,Enchanted Tools,https://enchanted.tools
aibo,77.57,74.25,151.82,SONY,https://aibo.sony.jp
XGO-Rider,72.5,75.1,147.6,Luwu Dynamics (陆吾科技),https://wiki.elecfreaks.com/microbit/robot/cm4-xgo-rider-kit/products-description/
G1,74.1,70.2,144.3,Unitree,https://www.unitree.com/cn/g1
Tang Monk,73.37,69.75,143.12,Ahead Form (首形科技),https://www.aheadform.com/zh
Qmini,69.57,69.25,138.82,Unitree,https://github.com/unitreerobotics/Qmini
BDX  Droid,74.13,62.3,136.43,Walt Disney Imagineering,https://thewaltdisneycompany.com/behind-the-bdx-droids/
ToddlerBot,70.07,66.1,136.17,Stanford University,https://toddlerbot.github.io
X1,73.6,61.51,135.11,AgiBot Series,http://www.agibot.com/qzproduct/169.html
N1,65,69.45,134.45,Fourier,https://fourier-grx-n1.github.io
Vector,74.3,59.9,134.2,Anki,https://anki.bot/pages/meet-vector
Lovot 3,68.2,66,134.2,GROOVE X,https://lovot.life/en/
AIBI,70.53,62.9,133.43,Living ai,https://living.ai/aibi/
Ameca,68.57,64.6,133.17,Engineered Arts,https://engineeredarts.com/robot/ameca/
Booster T1,64.07,68.55,132.62,Booster Robotics,https://www.boosterobotics.com/zh/robots/
GR-1,66.87,65.3,132.17,Fourier,https://www.fftai.cn/products-gr1
Surena IV,64,64.4,128.4,University of Tehran,https://surenahumanoid.com/surenaIV.html
EVE,61.77,62.05,123.82,1X,https://www.1x.tech
Yonbo,65.93,57.7,123.63,X-ORIGIN-AI,https://www.xorigin.ai
Spot,61.67,61.25,122.92,Boston Dynamics,https://bostondynamics.com/products/spot/
NEO Gamma,60.67,62.2,122.87,1X Technologies,https://www.1x.tech/neo
Ropet,63.77,58.95,122.72,ropet ai,https://comingsoon.ropet.bot
Digit-2,63.03,57.4,120.43,Agility Robotics,https://www.agilityrobotics.com/
s2,62.23,57.65,119.88,Engineai,https://www.engineai.com.cn/product_two
Bambot,67.53,51.35,118.88,Tim Qian,https://github.com/timqian/bambot?tab=readme-ov-file
AYUDA-MiraMe,63.6,55.05,118.65,"CIJ Co., Ltd.",https://ayuda.cij.co.jp/service/product/ayuda/index.html#mirame
Ascento,62.13,56.5,118.63,ascento,https://www.ascento.ai
bocco emo,59.27,59.2,118.47,Yukai Engineering,https://www.bocco.me
Berkeley Humanoid Lite,58.17,58.9,117.07,UC Berkeley,https://arxiv.org/abs/2504.17249
NICOL,60.93,55.55,116.48,German Research,https://www.inf.uni-hamburg.de/en/inst/ab/wtm/research/neurobotics/nicol.html
Go2,58.53,57.8,116.33,Unitree,https://www.unitree.com/cn/go2
H1,59.53,56.65,116.18,Unitree,https://www.unitree.com/cn/h1
Protoclon,55.17,57.3,112.47,clone,https://clonerobotics.com
Emo,55.87,56.15,112.02,Living ai,https://living.ai/emo/
SE01,56.83,52.65,109.48,Engineai,https://www.engineai.com.cn/product_one
DJI Neo,57.7,46.65,104.35,DJI,https://www.dji.com/cn/neo
Creature-02,49.83,53.2,103.03,Columbia Engineering,https://www.notion.so/chongliu/Creature_02-Open-Source-Gait-Training-Bipedal-Robot-630656df48874a3da114ae1d182898ed
Optimus,54.17,48.5,102.67,Tesla,https://www.tesla.com/AI
SA01,54.33,48.2,102.53,Engineai,https://www.engineai.com.cn/product_three
mini talking-bones,54.17,47.75,101.92,ICD Lab,https://www.icd.cs.tut.ac.jp/index.php/portfolio/mini-talking-bones/
Nicobo,53.13,46.75,99.88,panasonic,https://panasonic.net/design/projects/nicobo/
Tidybot++,49.43,46.15,95.58,Stanford University,https://tidybot2.github.io
Mi-mo,47.53,43.85,91.38,Jizai,https://jizai.ai/Mi-Mo
Emo the robotic head,49.5,41,90.5,Columbia Engineering,https://www.engineering.columbia.edu/about/news/robot-can-you-say-cheese?
XGO-tiny,44.83,38,82.83,Luwu Dynamics,https://www.yuque.com/luwudynamics/cn/aq2arm2vmqikdac9
RT-G,45.5,35.2,80.7,Rotunbot,http://www.rotunbot.cn/
Ballie,40.87,37.6,78.47,Samsung,https://www.samsung.com/global/home-robot-ballie/
Aru,39.53,34.55,74.08,Nio Robotics,https://www.nio-robotics.com
Chipo,37.2,35.1,72.3,MakeYourPet,https://github.com/MakeYourPet/hexapod/blob/main/Illustrations/yellow2.png
aimec,84.33,82.8,167.13,Tony Ellis (Applied Machine Intelligence (AMI)),http://www.appliedmachineintelligence.co.uk/robots.html
zeno,83.37,81.7,165.07,Hanson Robotics,http://www.hansonrobotics.com/robot/zeno/
Yumi-TrueSmart,82.6,78.6,161.2,ABB,https://new.abb.com/future/yumi
Roboware-E3,82.63,78.35,160.98,Roboware,https://www.engadget.com/2008/12/18/roboware-e3-family-robot-spotted-in-action-packed-video/
lynx,79.7,78.95,158.65,Ubtech Robotics,https://ubtrobot.com/
Echo-Plus,80.46,77.1,157.56,Hovis DST robot (Sastra),http://www.sastrarobotics.com/products/hovis-eco/
albert-hubo,81.8,74.55,156.35,Hanson Robotics / Dynamic Korea,http://www.hansonrobotics.com/robot/albert-einstein-hubo/
Bandit,79.03,77.25,156.28,Interaction Lab USC and Blue Sky Robotics,http://robotics.usc.edu/interaction/robots/
robonaut,81.54,74.5,156.04,NASA & GM,https://robonaut.jsc.nasa.gov/R2/
romeo,80.17,75.6,155.77,Aldebaran,https://www.ald.softbankrobotics.com/en/cool-robots/romeo
Ira,79.1,75.05,154.15,HDFC bank,https://www.youtube.com/watch?v=5vjY1c8N1rk
ARMAR-3,77.27,75.45,152.72,Karlsruhe Institute of Technology,https://his.anthropomatik.kit.edu/english/241.php
cb2-humanoid,77.57,74.4,151.97,Osaka University,http://www.eng.osaka-u.ac.jp/ja/research/index_asada.html
